type,method,metric,score
randomly_missing_30,scANVI,NMI_cluster/label,0.963110996
randomly_missing_30,scGEN,NMI_cluster/label,0.961522491
randomly_missing_30,STACAS,NMI_cluster/label,0.975804928
randomly_missing_30,scANVI,ARI_cluster/label,0.982940827
randomly_missing_30,scGEN,ARI_cluster/label,0.981042729
randomly_missing_30,STACAS,ARI_cluster/label,0.989644439
randomly_missing_30,scANVI,ASW_label,0.586991784
randomly_missing_30,scGEN,ASW_label,0.645202105
randomly_missing_30,STACAS,ASW_label,0.684959331
randomly_missing_30,scANVI,ASW_label/batch,0.95495926
randomly_missing_30,scGEN,ASW_label/batch,0.903402089
randomly_missing_30,STACAS,ASW_label/batch,0.875109269
randomly_missing_30,scANVI,isolated_label_F1,0.992624899
randomly_missing_30,scGEN,isolated_label_F1,0.993482383
randomly_missing_30,STACAS,isolated_label_F1,0.996027089
randomly_missing_30,scANVI,isolated_label_silhouette,0.590417775
randomly_missing_30,scGEN,isolated_label_silhouette,0.63673488
randomly_missing_30,STACAS,isolated_label_silhouette,0.674905324
randomly_missing_30,scANVI,graph_conn,1
randomly_missing_30,scGEN,graph_conn,0.999119302
randomly_missing_30,STACAS,graph_conn,1
randomly_missing_50,scANVI,NMI_cluster/label,0.949706051
randomly_missing_50,scGEN,NMI_cluster/label,0.956522517
randomly_missing_50,STACAS,NMI_cluster/label,0.97827253
randomly_missing_50,scANVI,ARI_cluster/label,0.973792791
randomly_missing_50,scGEN,ARI_cluster/label,0.977303663
randomly_missing_50,STACAS,ARI_cluster/label,0.990589645
randomly_missing_50,scANVI,ASW_label,0.585865089
randomly_missing_50,scGEN,ASW_label,0.644529994
randomly_missing_50,STACAS,ASW_label,0.685609041
randomly_missing_50,scANVI,ASW_label/batch,0.957200435
randomly_missing_50,scGEN,ASW_label/batch,0.866940001
randomly_missing_50,STACAS,ASW_label/batch,0.876285005
randomly_missing_50,scANVI,isolated_label_F1,0.99073569
randomly_missing_50,scGEN,isolated_label_F1,0.991492584
randomly_missing_50,STACAS,isolated_label_F1,0.996241906
randomly_missing_50,scANVI,isolated_label_silhouette,0.589085055
randomly_missing_50,scGEN,isolated_label_silhouette,0.636369023
randomly_missing_50,STACAS,isolated_label_silhouette,0.675468719
randomly_missing_50,scANVI,graph_conn,1
randomly_missing_50,scGEN,graph_conn,0.99955167
randomly_missing_50,STACAS,graph_conn,1
randomly_missing_70,scANVI,NMI_cluster/label,0.949877865
randomly_missing_70,scGEN,NMI_cluster/label,0.952341041
randomly_missing_70,STACAS,NMI_cluster/label,0.977761528
randomly_missing_70,scANVI,ARI_cluster/label,0.976309628
randomly_missing_70,scGEN,ARI_cluster/label,0.975790594
randomly_missing_70,STACAS,ARI_cluster/label,0.990574416
randomly_missing_70,scANVI,ASW_label,0.582627656
randomly_missing_70,scGEN,ASW_label,0.639254708
randomly_missing_70,STACAS,ASW_label,0.68495704
randomly_missing_70,scANVI,ASW_label/batch,0.958171147
randomly_missing_70,scGEN,ASW_label/batch,0.860444414
randomly_missing_70,STACAS,ASW_label/batch,0.874057124
randomly_missing_70,scANVI,isolated_label_F1,0.990175799
randomly_missing_70,scGEN,isolated_label_F1,0.992633266
randomly_missing_70,STACAS,isolated_label_F1,0.952341029
randomly_missing_70,scANVI,isolated_label_silhouette,0.58520767
randomly_missing_70,scGEN,isolated_label_silhouette,0.626385596
randomly_missing_70,STACAS,isolated_label_silhouette,0.674768545
randomly_missing_70,scANVI,graph_conn,1
randomly_missing_70,scGEN,graph_conn,0.99910334
randomly_missing_70,STACAS,graph_conn,1
full_annotated_supervised,scANVI,NMI_cluster/label,0.959884854
full_annotated_supervised,scGEN,NMI_cluster/label,0.967744577
full_annotated_supervised,STACAS,NMI_cluster/label,0.973115116
full_annotated_supervised,scANVI,ARI_cluster/label,0.979131706
full_annotated_supervised,scGEN,ARI_cluster/label,0.984310611
full_annotated_supervised,STACAS,ARI_cluster/label,0.988283182
full_annotated_supervised,scANVI,ASW_label,0.592679049
full_annotated_supervised,scGEN,ASW_label,0.672741931
full_annotated_supervised,STACAS,ASW_label,0.687639601
full_annotated_supervised,scANVI,ASW_label/batch,0.957570773
full_annotated_supervised,scGEN,ASW_label/batch,0.903941962
full_annotated_supervised,STACAS,ASW_label/batch,0.87794826
full_annotated_supervised,scANVI,isolated_label_F1,0.989800883
full_annotated_supervised,scGEN,isolated_label_F1,0.993994633
full_annotated_supervised,STACAS,isolated_label_F1,0.995705845
full_annotated_supervised,scANVI,isolated_label_silhouette,0.596444259
full_annotated_supervised,scGEN,isolated_label_silhouette,0.666313783
full_annotated_supervised,STACAS,isolated_label_silhouette,0.677555829
