type,metric,method,score
full_annotated_supervised,NMI_cluster/label,scANVI,0.866766
full_annotated_supervised,ARI_cluster/label,scANVI,0.870068
full_annotated_supervised,ASW_label,scANVI,0.630781
full_annotated_supervised,ASW_label/batch,scANVI,0.874948
full_annotated_supervised,isolated_label_F1,scANVI,0.917066
full_annotated_supervised,isolated_label_silhouette,scANVI,0.712159
full_annotated_supervised,graph_conn,scANVI,0.984575
full_annotated_supervised,NMI_cluster/label,scGEN,0.900934
full_annotated_supervised,ARI_cluster/label,scGEN,0.902391
full_annotated_supervised,ASW_label,scGEN,0.596334
full_annotated_supervised,ASW_label/batch,scGEN,0.931293
full_annotated_supervised,isolated_label_F1,scGEN,0.864871
full_annotated_supervised,isolated_label_silhouette,scGEN,0.608587
full_annotated_supervised,graph_conn,scGEN,0.99646
full_annotated_supervised,NMI_cluster/label,STACAS,0.82156
full_annotated_supervised,ARI_cluster/label,STACAS,0.772917
full_annotated_supervised,ASW_label,STACAS,0.60141
full_annotated_supervised,ASW_label/batch,STACAS,0.897979
full_annotated_supervised,isolated_label_F1,STACAS,0.821381
full_annotated_supervised,isolated_label_silhouette,STACAS,0.651585
full_annotated_supervised,graph_conn,STACAS,0.974869
singleR,NMI_cluster/label,scANVI,0.808101
singleR,ARI_cluster/label,scANVI,0.830718
singleR,ASW_label,scANVI,0.570232
singleR,ASW_label/batch,scANVI,0.902443
singleR,isolated_label_F1,scANVI,0.792299
singleR,isolated_label_silhouette,scANVI,0.609229
singleR,graph_conn,scANVI,0.984752
singleR,NMI_cluster/label,scGEN,0.634616
singleR,ARI_cluster/label,scGEN,0.560887
singleR,ASW_label,scGEN,0.539361
singleR,ASW_label/batch,scGEN,0.910558
singleR,isolated_label_F1,scGEN,0.625919
singleR,isolated_label_silhouette,scGEN,0.571995
singleR,graph_conn,scGEN,0.932723
singleR,NMI_cluster/label,STACAS,0.832504
singleR,ARI_cluster/label,STACAS,0.827895
singleR,ASW_label,STACAS,0.59654
singleR,ASW_label/batch,STACAS,0.898764
singleR,isolated_label_F1,STACAS,0.850203
singleR,isolated_label_silhouette,STACAS,0.648681
singleR,graph_conn,STACAS,0.970367
CellAssign,NMI_cluster/label,scANVI,0.820384
CellAssign,ARI_cluster/label,scANVI,0.832184
CellAssign,ASW_label,scANVI,0.58357
