type,metric,method,score
full_annotated_supervised,NMI_cluster/label,scANVI,0.930511
full_annotated_supervised,ARI_cluster/label,scANVI,0.953979
full_annotated_supervised,ASW_label,scANVI,0.613611
full_annotated_supervised,ASW_label/batch,scANVI,0.874315
full_annotated_supervised,isolated_label_F1,scANVI,0.088608
full_annotated_supervised,isolated_label_silhouette,scANVI,0.776346
full_annotated_supervised,graph_conn,scANVI,0.997151
full_annotated_supervised,NMI_cluster/label,scGEN,0.977687
full_annotated_supervised,ARI_cluster/label,scGEN,0.989149
full_annotated_supervised,ASW_label,scGEN,0.643004
full_annotated_supervised,ASW_label/batch,scGEN,0.776201
full_annotated_supervised,isolated_label_F1,scGEN,0.145833
full_annotated_supervised,isolated_label_silhouette,scGEN,0.81155
full_annotated_supervised,graph_conn,scGEN,0.994886
full_annotated_supervised,NMI_cluster/label,STACAS,0.926336
full_annotated_supervised,ARI_cluster/label,STACAS,0.958796
full_annotated_supervised,ASW_label,STACAS,0.701654
full_annotated_supervised,ASW_label/batch,STACAS,0.851976
full_annotated_supervised,isolated_label_F1,STACAS,0.2
full_annotated_supervised,isolated_label_silhouette,STACAS,0.711441
full_annotated_supervised,graph_conn,STACAS,0.985079
CellAssign,NMI_cluster/label,scANVI,0.907862
CellAssign,ARI_cluster/label,scANVI,0.941904
CellAssign,ASW_label,scANVI,0.559812
CellAssign,ASW_label/batch,scANVI,0.878671
CellAssign,isolated_label_F1,scANVI,0.150538
CellAssign,isolated_label_silhouette,scANVI,0.719847
CellAssign,graph_conn,scANVI,0.987227
CellAssign,NMI_cluster/label,scGEN,0.817687
CellAssign,ARI_cluster/label,scGEN,0.873897
CellAssign,ASW_label,scGEN,0.56375
CellAssign,ASW_label/batch,scGEN,0.855251
CellAssign,isolated_label_F1,scGEN,0.163934
CellAssign,isolated_label_silhouette,scGEN,0.654349
CellAssign,graph_conn,scGEN,0.963325
CellAssign,NMI_cluster/label,STACAS,0.926058
CellAssign,ARI_cluster/label,STACAS,0.955608
CellAssign,ASW_label,STACAS,0.559812
CellAssign,ASW_label/batch,STACAS,0.878671
CellAssign,isolated_label_F1,STACAS,0.150538
CellAssign,isolated_label_silhouette,STACAS,0.719847
CellAssign,graph_conn,STACAS,0.984016
Azimuth,NMI_cluster/label,scANVI,0.916071
Azimuth,ARI_cluster/label,scANVI,0.949119
Azimuth,ASW_label,scANVI,0.586735
Azimuth,ASW_label/batch,scANVI,0.882247
Azimuth,isolated_label_F1,scANVI,0.186667
Azimuth,isolated_label_silhouette,scANVI,0.7147
Azimuth,graph_conn,scANVI,0.984162
Azimuth,NMI_cluster/label,scGEN,0.913013
Azimuth,ARI_cluster/label,scGEN,0.946703
Azimuth,ASW_label,scGEN,0.637993
Azimuth,ASW_label/batch,scGEN,0.831694
Azimuth,isolated_label_F1,scGEN,0.141414
Azimuth,isolated_label_silhouette,scGEN,0.726153
Azimuth,graph_conn,scGEN,0.969339
Azimuth,NMI_cluster/label,STACAS,0.92678
