type,metric,method,score
full_annotated_supervised,NMI_cluster/label,scANVI,0.889923
full_annotated_supervised,ARI_cluster/label,scANVI,0.839477
full_annotated_supervised,ASW_label,scANVI,0.64483
full_annotated_supervised,ASW_label/batch,scANVI,0.869907
full_annotated_supervised,isolated_label_F1,scANVI,0.968174
full_annotated_supervised,isolated_label_silhouette,scANVI,0.77566
full_annotated_supervised,graph_conn,scANVI,0.996986
full_annotated_supervised,NMI_cluster/label,scGEN,0.961589
full_annotated_supervised,ARI_cluster/label,scGEN,0.964328
full_annotated_supervised,ASW_label,scGEN,0.625885
full_annotated_supervised,ASW_label/batch,scGEN,0.789014
full_annotated_supervised,isolated_label_F1,scGEN,0.994941
full_annotated_supervised,isolated_label_silhouette,scGEN,0.647566
full_annotated_supervised,graph_conn,scGEN,0.995699
full_annotated_supervised,NMI_cluster/label,STACAS,0.765351
full_annotated_supervised,ARI_cluster/label,STACAS,0.654172
full_annotated_supervised,ASW_label,STACAS,0.598355
full_annotated_supervised,ASW_label/batch,STACAS,0.843687
full_annotated_supervised,isolated_label_F1,STACAS,0.847352
full_annotated_supervised,isolated_label_silhouette,STACAS,0.615326
full_annotated_supervised,graph_conn,STACAS,0.971249
singleR,NMI_cluster/label,scANVI,0.751629
singleR,ARI_cluster/label,scANVI,0.571981
singleR,ASW_label,scANVI,0.571462
singleR,ASW_label/batch,scANVI,0.906138
singleR,isolated_label_F1,scANVI,0.653646
singleR,isolated_label_silhouette,scANVI,0.56193
singleR,graph_conn,scANVI,0.973334
singleR,NMI_cluster/label,scGEN,0.613048
singleR,ARI_cluster/label,scGEN,0.519325
singleR,ASW_label,scGEN,0.54667
singleR,ASW_label/batch,scGEN,0.876761
singleR,isolated_label_F1,scGEN,0.581081
singleR,isolated_label_silhouette,scGEN,0.494184
singleR,graph_conn,scGEN,0.916583
singleR,NMI_cluster/label,STACAS,0.737984
singleR,ARI_cluster/label,STACAS,0.612029
singleR,ASW_label,STACAS,0.590835
singleR,ASW_label/batch,STACAS,0.848605
singleR,isolated_label_F1,STACAS,0.834138
singleR,isolated_label_silhouette,STACAS,0.605186
singleR,graph_conn,STACAS,0.96995
CellAssign,NMI_cluster/label,scANVI,0.761959
CellAssign,ARI_cluster/label,scANVI,0.675927
CellAssign,ASW_label,scANVI,0.571301
CellAssign,ASW_label/batch,scANVI,0.901628
CellAssign,isolated_label_F1,scANVI,0.864078
CellAssign,isolated_label_silhouette,scANVI,0.633629
CellAssign,graph_conn,scANVI,0.975231
CellAssign,NMI_cluster/label,scGEN,0.642587
CellAssign,ARI_cluster/label,scGEN,0.401148
CellAssign,ASW_label,scGEN,0.552624
CellAssign,ASW_label/batch,scGEN,0.908053
CellAssign,isolated_label_F1,scGEN,0.67234
CellAssign,isolated_label_silhouette,scGEN,0.573033
CellAssign,graph_conn,scGEN,0.957243
CellAssign,NMI_cluster/label,STACAS,0.759914
CellAssign,ARI_cluster/label,STACAS,0.646778
CellAssign,ASW_label,STACAS,0.583448
CellAssign,ASW_label/batch,STACAS,0.854823
CellAssign,isolated_label_F1,STACAS,0.853081
CellAssign,isolated_label_silhouette,STACAS,0.666894
CellAssign,graph_conn,STACAS,0.9653
Azimuth,NMI_cluster/label,scANVI,0.746043
Azimuth,ARI_cluster/label,scANVI,0.552214
Azimuth,ASW_label,scANVI,0.601701
Azimuth,ASW_label/batch,scANVI,0.872325
Azimuth,isolated_label_F1,scANVI,0.833073
Azimuth,isolated_label_silhouette,scANVI,0.686246
Azimuth,graph_conn,scANVI,0.975958
Azimuth,NMI_cluster/label,scGEN,0.730345
Azimuth,ARI_cluster/label,scGEN,0.607918
Azimuth,ASW_label,scGEN,0.563636
Azimuth,ASW_label/batch,scGEN,0.835134
Azimuth,isolated_label_F1,scGEN,0.16797
Azimuth,isolated_label_silhouette,scGEN,0.500025
Azimuth,graph_conn,scGEN,0.923386
Azimuth,NMI_cluster/label,STACAS,0.761328
Azimuth,ARI_cluster/label,STACAS,0.662963
Azimuth,ASW_label,STACAS,0.594739
Azimuth,ASW_label/batch,STACAS,0.836968
Azimuth,isolated_label_F1,STACAS,0.852033
Azimuth,isolated_label_silhouette,STACAS,0.613581
Azimuth,graph_conn,STACAS,0.964774
unsupervised,NMI_cluster/label,scVI,0.798231
unsupervised,ARI_cluster/label,scVI,0.741512
unsupervised,ASW_label,scVI,0.548276
unsupervised,ASW_label/batch,scVI,0.888456
unsupervised,isolated_label_F1,scVI,0.776815
unsupervised,isolated_label_silhouette,scVI,0.618877
unsupervised,graph_conn,scVI,0.972124
unsupervised,NMI_cluster/label,Harmony,0.790499
unsupervised,ARI_cluster/label,Harmony,0.740501
unsupervised,ASW_label,Harmony,0.55292
unsupervised,ASW_label/batch,Harmony,0.917367
unsupervised,isolated_label_F1,Harmony,0.77905
