type,method,metric,score
Azimuth,scANVI,NMI_cluster/label,0.816668111
Azimuth,scGEN,NMI_cluster/label,0.791475902
Azimuth,STACAS,NMI_cluster/label,0.810835842
Azimuth,scANVI,ARI_cluster/label,0.636166947
Azimuth,scGEN,ARI_cluster/label,0.64555983
Azimuth,STACAS,ARI_cluster/label,0.626986278
Azimuth,scANVI,ASW_label,0.60329667
Azimuth,scGEN,ASW_label,0.585317332
Azimuth,STACAS,ASW_label,0.637145444
Azimuth,scANVI,ASW_label/batch,0.825369231
Azimuth,scGEN,ASW_label/batch,0.836446374
Azimuth,STACAS,ASW_label/batch,0.782778668
Azimuth,scANVI,isolated_label_F1,0.871334744
Azimuth,scGEN,isolated_label_F1,0.846190278
Azimuth,STACAS,isolated_label_F1,0.844608376
Azimuth,scANVI,isolated_label_silhouette,0.6065395
Azimuth,scGEN,isolated_label_silhouette,0.573725664
Azimuth,STACAS,isolated_label_silhouette,0.639853468
Azimuth,scANVI,graph_conn,0.987756928
Azimuth,scGEN,graph_conn,0.984426003
Azimuth,STACAS,graph_conn,0.969972951
CellAssign,scANVI,NMI_cluster/label,0.797302225
CellAssign,scGEN,NMI_cluster/label,0.755687887
CellAssign,STACAS,NMI_cluster/label,0.794182736
CellAssign,scANVI,ARI_cluster/label,0.671206032
CellAssign,scGEN,ARI_cluster/label,0.562547318
CellAssign,STACAS,ARI_cluster/label,0.600068296
CellAssign,scANVI,ASW_label,0.583172929
CellAssign,scGEN,ASW_label,0.574131517
CellAssign,STACAS,ASW_label,0.618634791
CellAssign,scANVI,ASW_label/batch,0.841157076
CellAssign,scGEN,ASW_label/batch,0.703591406
CellAssign,STACAS,ASW_label/batch,0.777341009
CellAssign,scANVI,isolated_label_F1,0.853925642
CellAssign,scGEN,isolated_label_F1,0.780337376
CellAssign,STACAS,isolated_label_F1,0.829496189
CellAssign,scANVI,isolated_label_silhouette,0.588494986
CellAssign,scGEN,isolated_label_silhouette,0.569876647
CellAssign,STACAS,isolated_label_silhouette,0.622877684
CellAssign,scANVI,graph_conn,0.988358087
CellAssign,scGEN,graph_conn,0.940583598
CellAssign,STACAS,graph_conn,0.974312448
mixing_at_edge_30,scANVI,NMI_cluster/label,0.834397622
mixing_at_edge_30,scGEN,NMI_cluster/label,0.846012117
mixing_at_edge_30,STACAS,NMI_cluster/label,0.780318243
mixing_at_edge_30,scANVI,ARI_cluster/label,0.724001505
mixing_at_edge_30,scGEN,ARI_cluster/label,0.741899743
mixing_at_edge_30,STACAS,ARI_cluster/label,0.544153652
mixing_at_edge_30,scANVI,ASW_label,0.628202912
mixing_at_edge_30,scGEN,ASW_label,0.603685584
mixing_at_edge_30,STACAS,ASW_label,0.619839444
mixing_at_edge_30,scANVI,ASW_label/batch,0.845502583
